Hash,File,Operator,Start,End,StartLine,EndLine,Original,Replacement,Status,Time(ms)
m9158b0f3,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,1090,1094,32,32," && "," || ",killed,9659
mfe126ad2,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,1079,1083,32,32," >= ","  > ",killed,8799
mee2acf74,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,1079,1083,32,32," >= ","  < ",killed,11428
md74e4b9f,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,1079,1083,32,32," >= "," <= ",killed,10683
maf0794e2,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,1079,1083,32,32," >= "," != ",killed,14290
m18a9d5c4,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,1079,1083,32,32," >= "," == ",killed,11571
m3d7d811a,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,1096,1100,32,32," <= ","  < ",killed,10354
m76f4ec46,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,1096,1100,32,32," <= ","  > ",killed,11197
m9216a2c3,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,1096,1100,32,32," <= "," >= ",killed,9030
m2dcf2153,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,1096,1100,32,32," <= "," != ",killed,10155
me8f7d9b5,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,1096,1100,32,32," <= "," == ",killed,11700
mba24590b,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,1225,1229,36,36," >= ","  > ",live,12025
m0f6571cd,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,1225,1229,36,36," >= ","  < ",killed,9028
mdb397f8f,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,1225,1229,36,36," >= "," <= ",killed,7972
m8025e9da,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,1225,1229,36,36," >= "," != ",killed,8490
m3a0487c9,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,1225,1229,36,36," >= "," == ",killed,7956
me30fa70a,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,1257,1260,36,36," + "," - ",killed,8077
m9de739d6,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,1257,1260,36,36," + "," * ",killed,8985
mb2c8ba2a,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,1257,1260,36,36," + "," / ",killed,8055
m79d9c827,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,1257,1260,36,36," + "," ** ",killed,8388
m9dc6276d,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,1257,1260,36,36," + "," % ",killed,10144
m3570e8ab,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,1577,1581,46,46," || "," && ",killed,9254
mfcddef20,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,1563,1567,46,46," == "," <= ",live,10487
mdc198976,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,1563,1567,46,46," == "," >= ",killed,9931
mb13f8d78,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,1563,1567,46,46," == ","  < ",killed,10906
m9460b4c6,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,1563,1567,46,46," == ","  > ",killed,9152
m8eba00f5,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,1563,1567,46,46," == "," != ",killed,9495
ma249c4a8,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,1725,1729,50,50," && "," || ",killed,9423
mfb8b973e,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,1714,1718,50,50," >= ","  > ",killed,11104
m1185f881,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,1714,1718,50,50," >= ","  < ",killed,13855
m025db7b1,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,1714,1718,50,50," >= "," <= ",killed,10830
m8b0a48f6,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,1714,1718,50,50," >= "," != ",killed,10598
mef8197e7,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,1714,1718,50,50," >= "," == ",live,20371
maab19ab7,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,1731,1735,50,50," <= ","  < ",killed,13804
m2d9ac85a,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,1731,1735,50,50," <= ","  > ",live,24604
mdabb1efd,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,1731,1735,50,50," <= "," >= ",live,17918
m7b7b3cc4,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,1731,1735,50,50," <= "," != ",killed,10961
m8fae1b43,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,1731,1735,50,50," <= "," == ",killed,11280
md3347f0d,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,1971,1975,58,58," || "," && ",live,19598
m35dabd7d,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,1963,1967,58,58," == "," <= ",killed,12362
m8c28e8ab,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,1963,1967,58,58," == "," >= ",live,14698
m342fdda7,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,1963,1967,58,58," == ","  < ",killed,10254
mbb475889,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,1963,1967,58,58," == ","  > ",killed,12216
mb34f5c95,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,1963,1967,58,58," == "," != ",killed,11135
m37b00f35,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,2680,2684,82,82," != "," >  ",killed,9415
m2d58d25c,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,2680,2684,82,82," != ","  < ",live,13087
m152061c3,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,2680,2684,82,82," != "," <= ",killed,8316
mc63cf0e9,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,2680,2684,82,82," != "," >= ",killed,8051
mb091c831,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,2680,2684,82,82," != "," == ",killed,9050
mb0dcf151,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,2816,2820,86,86," && "," || ",killed,9074
mc39d5fe3,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,2805,2809,86,86," >= ","  > ",live,13189
m1c2780aa,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,2805,2809,86,86," >= ","  < ",killed,8982
m817065be,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,2805,2809,86,86," >= "," <= ",killed,10348
m33b6b8c8,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,2805,2809,86,86," >= "," != ",live,10492
m8a5197a1,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,2805,2809,86,86," >= "," == ",killed,8287
m604a530e,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,2834,2838,86,86," <= ","  < ",killed,9634
m1e29656d,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,2834,2838,86,86," <= ","  > ",killed,8966
mbb1ffc29,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,2834,2838,86,86," <= "," >= ",killed,8549
m3d2ad106,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,2834,2838,86,86," <= "," != ",killed,8387
m23ad9442,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,2834,2838,86,86," <= "," == ",killed,8314
meeb9bf13,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,2968,2972,90,90," >= ","  > ",killed,12494
meccd6c91,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,2968,2972,90,90," >= ","  < ",killed,11005
m47d2080e,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,2968,2972,90,90," >= "," <= ",killed,9385
m001f167a,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,2968,2972,90,90," >= "," != ",killed,8892
mbb8d1163,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,BOR,2968,2972,90,90," >= "," == ",killed,11978
m4887e6d4,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,CCD,667,828,21,26,"constructor()        ERC1155(            ""ipfs://bafybeiaan5hx3tfk4vs4qp3l7efg2dyydlt3mjs7egduhlsuwylafnlrrm/{id}""        )        Ownable(msg.sender)    {}",,stillborn,4895
m97c3bc7e,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,DLR,2169,2182,64,64,string memory,string storage,stillborn,4299
m2856806f,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,EHC,1056,1180,31,34,"require(            id >= TOKEN_0 && id <= TOKEN_2,            ""Free minting is allowed only for token IDs 0-2""        );","/* require(            id >= TOKEN_0 && id <= TOKEN_2,            ""Free minting is allowed only for token IDs 0-2""        ); */",killed,8997
m07f5eda6,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,EHC,1189,1347,35,38,"require(            block.timestamp >= lastMintTime[msg.sender][id] + 1 minutes,            ""There is a cooldown of 1 minute between free mints.""        );","/* require(            block.timestamp >= lastMintTime[msg.sender][id] + 1 minutes,            ""There is a cooldown of 1 minute between free mints.""        ); */",killed,10417
m08d550e3,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,EHC,1535,1682,45,48,"require(            owner() == msg.sender || isApprovedForAll(owner(), msg.sender),            ""Caller is not the owner nor approved.""        );","/* require(            owner() == msg.sender || isApprovedForAll(owner(), msg.sender),            ""Caller is not the owner nor approved.""        ); */",killed,8893
m8908c6ab,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,EHC,1691,1812,49,52,"require(            id >= TOKEN_3 && id <= TOKEN_6,            ""Using forgeMint, you can only mint IDs 3-6.""        );","/* require(            id >= TOKEN_3 && id <= TOKEN_6,            ""Using forgeMint, you can only mint IDs 3-6.""        ); */",killed,8640
mec368d33,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,EHC,1932,2069,57,60,"require(            msg.sender == from || isApprovedForAll(from, msg.sender),            ""Caller is not owner nor approved.""        );","/* require(            msg.sender == from || isApprovedForAll(from, msg.sender),            ""Caller is not owner nor approved.""        ); */",killed,9036
mba1de61e,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,EHC,2648,2761,81,84,"require(            giveTokenId != receiveTokenId,            ""Cannot trade for the same token type""        );","/* require(            giveTokenId != receiveTokenId,            ""Cannot trade for the same token type""        ); */",killed,10097
me817c09a,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,EHC,2770,2904,85,88,"require(            receiveTokenId >= TOKEN_0 && receiveTokenId <= TOKEN_2,            ""Can only trade for token IDs 0-2""        );","/* require(            receiveTokenId >= TOKEN_0 && receiveTokenId <= TOKEN_2,            ""Can only trade for token IDs 0-2""        ); */",killed,12812
m176c788e,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,EHC,2913,3046,89,92,"require(            balanceOf(msg.sender, giveTokenId) >= giveAmount,            ""Insufficient balance of token to give""        );","/* require(            balanceOf(msg.sender, giveTokenId) >= giveAmount,            ""Insufficient balance of token to give""        ); */",killed,17668
m97a339a3,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,FVR,997,1046,30,30,"function mint(uint256 id, uint256 amount) public ","function mint(uint256 id, uint256 amount) external ",live,17860
mda6a48b6,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,FVR,997,1046,30,30,"function mint(uint256 id, uint256 amount) public ","function mint(uint256 id, uint256 amount) internal ",killed,11172
mfcdb76ad,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,FVR,997,1046,30,30,"function mint(uint256 id, uint256 amount) public ","function mint(uint256 id, uint256 amount) private ",killed,8478
m15f39e82,/Users/dhruvvarshney/Desktop/metana/metana-bootcamp/module-3/contracts/ERC1155token.sol,FVR,1459,1525,44,44,"function forgeMint(address to, uint256 id, uint256 amount) public ","function forgeMint(address to, uint256 id, uint256 amount) external ",live,9778
